firm,Ticker,Income Before Tax,Net Income,Selling General Administrative,Gross Profit,Ebit,Operating Income,Interest Expense,Income Tax Expense,Total Revenue,Total Operating Expenses,Cost Of Revenue,Net Income From Continuing Ops,Profit Margin(%),EBIT Margin,SG&A to Revenue Ratio,Tax rate
Linde,LIN,"? 99,50,00,000.00","? 70,00,00,000.00","? 72,90,00,000.00","? 3,02,00,00,000.00","? 1,05,50,00,000.00","? 1,05,50,00,000.00","? 3,80,00,000.00","? 26,50,00,000.00","? 6,85,50,00,000.00","? 5,80,00,00,000.00","? 3,83,50,00,000.00","? 73,00,00,000.00",23.18%,34.93%,24.14%,29.65%
Live Nation Entertainment,LYV,"? 20,81,75,000.00","? 19,56,65,000.00","? 35,64,92,000.00","? 33,28,26,000.00","? 12,73,13,000.00","? 12,73,13,000.00","? 6,89,09,000.00","? 22,85,000.00","? 57,59,46,000.00","? 70,32,59,000.00","? 24,31,20,000.00","? 21,04,60,000.00",-58.79%,-38.25%,107.11%,6.01%
Live Nation Entertainment,LYV,"? 31,63,33,000.00","? 30,71,93,000.00","? 35,08,01,000.00","? 15,66,43,000.00","? 30,30,34,000.00","? 30,30,34,000.00","? 7,08,30,000.00","? 63,89,000.00","? 29,06,09,000.00","? 59,36,43,000.00","? 13,39,66,000.00","? 32,27,22,000.00",-196.11%,-193.46%,223.95%,2.89%
Live Nation Entertainment,LYV,"? 44,32,84,000.00","? 44,33,32,000.00","? 32,67,25,000.00","? 3,41,09,000.00","? 40,44,90,000.00","? 40,44,90,000.00","? 6,40,51,000.00","? 2,05,42,000.00","? 23,73,83,000.00","? 64,18,73,000.00","? 20,32,74,000.00","? 46,38,26,000.00",-1299.75%,-1185.87%,957.89%,-0.01%
Live Nation Entertainment,LYV,"? 55,93,62,000.00","? 52,89,02,000.00","? 43,75,64,000.00","? 5,32,69,000.00","? 50,42,33,000.00","? 50,42,33,000.00","? 6,60,93,000.00","? 1,69,04,000.00","? 18,40,18,000.00","? 68,82,51,000.00","? 13,07,49,000.00","? 54,24,58,000.00",-992.89%,-946.58%,821.42%,5.45%
LKQ Corporation,LKQ,"? 35,93,01,000.00","? 26,59,13,000.00","? 85,79,21,000.00","? 1,29,35,51,000.00","? 36,98,29,000.00","? 36,98,29,000.00","? 2,47,18,000.00","? 9,29,69,000.00","? 3,17,07,86,000.00","? 2,80,09,57,000.00","? 1,87,72,35,000.00","? 26,63,32,000.00",20.56%,28.59%,66.32%,25.99%
LKQ Corporation,LKQ,"? 24,98,99,000.00","? 18,10,12,000.00","? 81,53,86,000.00","? 1,17,04,96,000.00","? 28,27,15,000.00","? 28,27,15,000.00","? 1,90,12,000.00","? 6,87,08,000.00","? 2,95,38,88,000.00","? 2,67,11,73,000.00","? 1,78,33,92,000.00","? 18,11,91,000.00",15.46%,24.15%,69.66%,27.57%
LKQ Corporation,LKQ,"? 27,24,41,000.00","? 19,34,83,000.00","? 81,79,58,000.00","? 1,19,93,75,000.00","? 31,27,62,000.00","? 31,27,62,000.00","? 2,78,78,000.00","? 7,85,10,000.00","? 3,04,76,84,000.00","? 2,73,49,22,000.00","? 1,84,83,09,000.00","? 19,39,31,000.00",16.13%,26.08%,68.20%,28.98%
LKQ Corporation,LKQ,"? 16,03,62,000.00","? 11,87,92,000.00","? 74,00,93,000.00","? 1,01,66,69,000.00","? 21,08,29,000.00","? 21,08,29,000.00","? 2,84,12,000.00","? 4,18,69,000.00","? 2,62,63,23,000.00","? 2,41,54,94,000.00","? 1,60,96,54,000.00","? 11,84,93,000.00",11.68%,20.74%,72.80%,25.92%
Lockheed Martin,LMT,"? 2,17,00,00,000.00","? 1,81,50,00,000.00","? 10,70,00,000.00","? 2,15,10,00,000.00","? 2,25,40,00,000.00","? 2,25,40,00,000.00","? 14,20,00,000.00","? 35,50,00,000.00","? 17,02,90,00,000.00","? 14,77,50,00,000.00","? 14,87,80,00,000.00","? 1,81,50,00,000.00",84.38%,104.79%,-4.97%,16.36%
Lockheed Martin,LMT,"? 2,21,10,00,000.00","? 1,83,70,00,000.00","? 10,60,00,000.00","? 2,22,20,00,000.00","? 2,32,90,00,000.00","? 2,32,90,00,000.00","? 14,00,00,000.00","? 37,40,00,000.00","? 16,25,80,00,000.00","? 13,92,90,00,000.00","? 14,03,60,00,000.00","? 1,83,70,00,000.00",82.67%,104.82%,-4.77%,16.92%
Lockheed Martin,LMT,"? 2,18,70,00,000.00","? 1,79,20,00,000.00","? 6,00,00,000.00","? 2,24,10,00,000.00","? 2,25,80,00,000.00","? 2,25,80,00,000.00","? 14,90,00,000.00","? 39,50,00,000.00","? 17,03,20,00,000.00","? 14,77,40,00,000.00","? 14,79,10,00,000.00","? 1,79,20,00,000.00",79.96%,100.76%,-2.68%,18.06%
Lockheed Martin,LMT,"? 2,05,60,00,000.00","? 1,69,80,00,000.00","? 5,90,00,000.00","? 2,13,60,00,000.00","? 2,20,10,00,000.00","? 2,20,10,00,000.00","? 14,50,00,000.00","? 30,30,00,000.00","? 16,49,50,00,000.00","? 14,29,40,00,000.00","? 14,35,90,00,000.00","? 1,75,30,00,000.00",79.49%,103.04%,-2.76%,17.41%
Loews Corporation,L,"? 1,01,20,00,000.00","? 75,40,00,000.00","? 65,60,00,000.00","? 1,76,80,00,000.00","? 1,11,20,00,000.00","? 1,11,20,00,000.00","? 10,00,00,000.00","? 21,90,00,000.00","? 4,00,30,00,000.00","? 2,89,10,00,000.00","? 2,23,50,00,000.00","? 79,30,00,000.00",42.65%,62.90%,37.10%,25.49%
Loews Corporation,L,"? 40,70,00,000.00","? 26,10,00,000.00","? 91,40,00,000.00","? 1,44,60,00,000.00","? 53,20,00,000.00","? 53,20,00,000.00","? 12,50,00,000.00","? 11,40,00,000.00","? 3,62,20,00,000.00","? 3,09,00,00,000.00","? 2,17,60,00,000.00","? 29,30,00,000.00",18.05%,36.79%,63.21%,35.87%
Loews Corporation,L,"? 54,80,00,000.00","? 39,70,00,000.00","? 89,30,00,000.00","? 1,52,40,00,000.00","? 63,10,00,000.00","? 63,10,00,000.00","? 11,10,00,000.00","? 11,10,00,000.00","? 3,67,50,00,000.00","? 3,04,40,00,000.00","? 2,15,10,00,000.00","? 43,70,00,000.00",26.05%,41.40%,58.60%,27.55%
Loews Corporation,L,"? 18,30,00,000.00","? 13,90,00,000.00","? 86,60,00,000.00","? 1,19,60,00,000.00","? 33,00,00,000.00","? 33,00,00,000.00","? 13,70,00,000.00","? 2,10,00,000.00","? 3,46,50,00,000.00","? 3,13,50,00,000.00","? 2,26,90,00,000.00","? 16,20,00,000.00",11.62%,27.59%,72.41%,24.04%
Lowe's,LOW,"? 3,99,40,00,000.00","? 3,01,80,00,000.00","? 4,66,60,00,000.00","? 9,31,20,00,000.00","? 4,23,70,00,000.00","? 4,23,70,00,000.00","? 22,00,00,000.00","? 97,60,00,000.00","? 27,57,00,00,000.00","? 23,33,30,00,000.00","? 18,25,80,00,000.00","? 3,01,80,00,000.00",32.41%,45.50%,50.11%,24.44%
Lowe's,LOW,"? 3,03,40,00,000.00","? 2,32,10,00,000.00","? 4,49,40,00,000.00","? 8,13,00,00,000.00","? 3,24,50,00,000.00","? 3,24,50,00,000.00","? 21,40,00,000.00","? 71,30,00,000.00","? 24,42,20,00,000.00","? 21,17,70,00,000.00","? 16,29,20,00,000.00","? 2,32,10,00,000.00",28.55%,39.91%,55.28%,23.50%
Lowe's,LOW,"? 1,32,00,00,000.00","? 97,80,00,000.00","? 3,30,70,00,000.00","? 6,46,60,00,000.00","? 2,76,90,00,000.00","? 2,76,90,00,000.00","? 21,00,00,000.00","? 34,20,00,000.00","? 20,31,10,00,000.00","? 17,54,20,00,000.00","? 13,84,50,00,000.00","? 97,80,00,000.00",15.13%,42.82%,51.14%,25.91%
Lowe's,LOW,"? 89,40,00,000.00","? 69,20,00,000.00","? 4,77,00,00,000.00","? 7,30,00,00,000.00","? 2,17,50,00,000.00","? 2,17,50,00,000.00","? 22,70,00,000.00","? 20,20,00,000.00","? 22,30,90,00,000.00","? 20,13,40,00,000.00","? 15,00,90,00,000.00","? 69,20,00,000.00",9.48%,29.79%,65.34%,22.60%
Lumen Technologies,LUMN,"? 67,40,00,000.00","? 50,60,00,000.00","? 73,50,00,000.00","? 2,80,90,00,000.00","? 1,04,30,00,000.00","? 1,04,30,00,000.00","? 38,40,00,000.00","? 16,80,00,000.00","? 4,92,40,00,000.00","? 3,88,10,00,000.00","? 2,11,50,00,000.00","? 50,60,00,000.00",18.01%,37.13%,26.17%,24.93%
Lumen Technologies,LUMN,"? 63,20,00,000.00","? 47,50,00,000.00","? 73,20,00,000.00","? 2,89,30,00,000.00","? 1,01,10,00,000.00","? 1,01,10,00,000.00","? 38,90,00,000.00","? 15,70,00,000.00","? 5,02,90,00,000.00","? 4,01,80,00,000.00","? 2,13,60,00,000.00","? 47,50,00,000.00",16.42%,34.95%,25.30%,24.84%
Lumen Technologies,LUMN,"? 2,20,80,00,000.00","? 2,28,90,00,000.00","? 71,30,00,000.00","? 2,89,40,00,000.00","? 98,60,00,000.00","? 98,60,00,000.00","? 39,60,00,000.00","? 8,10,00,000.00","? 5,12,50,00,000.00","? 4,13,90,00,000.00","? 2,23,10,00,000.00","? 2,28,90,00,000.00",-79.09%,34.07%,24.64%,-3.67%
Lumen Technologies,LUMN,"? 48,00,00,000.00","? 36,60,00,000.00","? 85,20,00,000.00","? 2,93,10,00,000.00","? 88,60,00,000.00","? 88,60,00,000.00","? 40,90,00,000.00","? 11,40,00,000.00","? 5,16,70,00,000.00","? 4,28,10,00,000.00","? 2,23,60,00,000.00","? 36,60,00,000.00",12.49%,30.23%,29.07%,23.75%
LyondellBasell,LYB,"? 2,21,30,00,000.00","? 1,76,00,00,000.00","? 32,70,00,000.00","? 2,59,10,00,000.00","? 2,23,40,00,000.00","? 2,23,40,00,000.00","? 12,80,00,000.00","? 45,20,00,000.00","? 12,70,00,00,000.00","? 10,46,60,00,000.00","? 10,10,90,00,000.00","? 1,76,10,00,000.00",67.93%,86.22%,12.62%,20.47%
LyondellBasell,LYB,"? 2,56,20,00,000.00","? 2,05,80,00,000.00","? 34,00,00,000.00","? 2,88,50,00,000.00","? 2,51,30,00,000.00","? 2,51,30,00,000.00","? 13,10,00,000.00","? 50,60,00,000.00","? 11,56,10,00,000.00","? 9,04,80,00,000.00","? 8,67,60,00,000.00","? 2,05,60,00,000.00",71.33%,87.11%,11.79%,19.67%
LyondellBasell,LYB,"? 1,14,00,00,000.00","? 1,06,80,00,000.00","? 30,20,00,000.00","? 1,40,40,00,000.00","? 1,07,30,00,000.00","? 1,07,30,00,000.00","? 11,20,00,000.00","? 7,00,00,000.00","? 9,08,20,00,000.00","? 8,00,90,00,000.00","? 7,67,80,00,000.00","? 1,07,00,00,000.00",76.07%,76.42%,21.51%,6.32%
LyondellBasell,LYB,"? 89,40,00,000.00","? 85,30,00,000.00","? 29,80,00,000.00","? 1,22,50,00,000.00","? 89,30,00,000.00","? 89,30,00,000.00","? 19,00,00,000.00","? 3,90,00,000.00","? 7,93,70,00,000.00","? 7,04,40,00,000.00","? 6,71,20,00,000.00","? 85,50,00,000.00",69.63%,72.90%,24.33%,4.59%
M&T Bank,MTB,"? 60,56,28,000.00","? 45,80,69,000.00","? 65,66,50,000.00","? 1,47,09,73,000.00",? 0.00,"? 63,01,34,000.00",,"? 14,75,59,000.00","? 1,47,09,73,000.00","? 84,08,39,000.00",? 0.00,"? 45,80,69,000.00",31.14%,0.00%,44.64%,24.36%
M&T Bank,MTB,"? 59,25,49,000.00","? 44,72,49,000.00","? 71,32,45,000.00","? 1,51,19,93,000.00",? 0.00,"? 60,94,75,000.00",,"? 14,53,00,000.00","? 1,51,19,93,000.00","? 90,25,18,000.00",? 0.00,"? 44,72,49,000.00",29.58%,0.00%,47.17%,24.52%
M&T Bank,MTB,"? 62,05,22,000.00","? 47,11,40,000.00","? 65,45,39,000.00","? 1,46,55,30,000.00",? 0.00,"? 63,88,55,000.00",,"? 14,93,82,000.00","? 1,46,55,30,000.00","? 82,66,75,000.00",? 0.00,"? 47,11,40,000.00",32.15%,0.00%,44.66%,24.07%
M&T Bank,MTB,"? 48,68,82,000.00","? 37,21,36,000.00","? 64,59,14,000.00","? 1,31,36,56,000.00",? 0.00,"? 50,29,17,000.00",,"? 11,47,46,000.00","? 1,31,36,56,000.00","? 81,07,39,000.00",? 0.00,"? 37,21,36,000.00",28.33%,0.00%,49.17%,23.57%
Marathon Oil,MRO,"? 2,60,00,000.00","? 1,60,00,000.00","? 6,90,00,000.00","? 96,60,00,000.00","? 5,40,00,000.00","? 5,40,00,000.00","? 5,90,00,000.00","? 1,00,00,000.00","? 1,25,90,00,000.00","? 1,20,50,00,000.00","? 29,30,00,000.00","? 1,60,00,000.00",1.66%,5.59%,7.14%,38.46%
Marathon Oil,MRO,"? 10,70,00,000.00","? 9,70,00,000.00","? 7,50,00,000.00","? 90,70,00,000.00","? 8,70,00,000.00","? 8,70,00,000.00","? 1,30,00,000.00","? 1,00,00,000.00","? 1,18,00,00,000.00","? 1,09,30,00,000.00","? 27,30,00,000.00","? 9,70,00,000.00",10.69%,9.59%,8.27%,9.35%
Marathon Oil,MRO,"? 34,10,00,000.00","? 33,80,00,000.00","? 5,70,00,000.00","? 53,00,00,000.00","? 21,50,00,000.00","? 21,50,00,000.00","? 7,20,00,000.00","? 30,00,000.00","? 83,10,00,000.00","? 1,04,60,00,000.00","? 30,10,00,000.00","? 33,80,00,000.00",-63.77%,-40.57%,10.75%,0.88%
Marathon Oil,MRO,"? 31,00,00,000.00","? 31,70,00,000.00","? 5,90,00,000.00","? 45,20,00,000.00","? 23,90,00,000.00","? 23,90,00,000.00","? 6,20,00,000.00","? 70,00,000.00","? 76,40,00,000.00","? 1,00,30,00,000.00","? 31,20,00,000.00","? 31,70,00,000.00",-70.13%,-52.88%,13.05%,-2.26%
Marathon Petroleum,MPC,"? 59,30,00,000.00","? 8,51,20,00,000.00","? 68,10,00,000.00","? 2,55,70,00,000.00","? 81,60,00,000.00","? 81,60,00,000.00","? 31,80,00,000.00","? 50,00,000.00","? 29,73,40,00,000.00","? 28,91,80,00,000.00","? 27,17,70,00,000.00","? 58,80,00,000.00",332.89%,31.91%,26.63%,-1335.41%
Marathon Petroleum,MPC,"? 13,60,00,000.00","? 24,20,00,000.00","? 57,50,00,000.00","? 1,70,40,00,000.00","? 12,30,00,000.00","? 12,30,00,000.00","? 33,40,00,000.00","? 3,40,00,000.00","? 22,78,80,00,000.00","? 22,66,50,00,000.00","? 21,08,40,00,000.00","? 17,00,00,000.00",-14.20%,7.22%,33.74%,-77.94%
Marathon Petroleum,MPC,"? 5,70,00,000.00","? 28,50,00,000.00","? 63,90,00,000.00","? 1,98,90,00,000.00","? 38,00,00,000.00","? 38,00,00,000.00","? 33,40,00,000.00","? 19,30,00,000.00","? 18,02,00,00,000.00","? 17,64,00,00,000.00","? 16,03,10,00,000.00","? 25,00,00,000.00",14.33%,19.11%,32.13%,-400.00%
Marathon Petroleum,MPC,"? 1,41,60,00,000.00","? 88,60,00,000.00","? 67,90,00,000.00","? 1,28,70,00,000.00","? 40,00,00,000.00","? 40,00,00,000.00","? 34,40,00,000.00","? 43,60,00,000.00","? 17,43,00,00,000.00","? 17,83,00,00,000.00","? 16,14,30,00,000.00","? 98,00,00,000.00",-68.84%,-31.08%,52.76%,37.43%
MarketAxess,MKTX,"? 8,60,53,000.00","? 6,72,88,000.00","? 2,47,84,000.00","? 12,50,58,000.00","? 8,71,77,000.00","? 8,71,77,000.00","? 1,71,000.00","? 1,87,65,000.00","? 17,63,34,000.00","? 8,91,57,000.00","? 5,12,76,000.00","? 6,72,88,000.00",53.81%,69.71%,19.82%,21.81%
MarketAxess,MKTX,"? 10,18,01,000.00","? 8,04,57,000.00","? 2,20,82,000.00","? 13,73,40,000.00","? 10,34,79,000.00","? 10,34,79,000.00","? 1,91,000.00","? 2,13,44,000.00","? 19,54,64,000.00","? 9,19,85,000.00","? 5,81,24,000.00","? 8,04,57,000.00",58.58%,75.35%,16.08%,20.97%
MarketAxess,MKTX,"? 9,02,89,000.00","? 7,29,31,000.00","? 2,25,43,000.00","? 12,59,52,000.00","? 9,28,17,000.00","? 9,28,17,000.00","? 96,000.00","? 1,73,58,000.00","? 17,13,46,000.00","? 7,85,29,000.00","? 4,53,94,000.00","? 7,29,31,000.00",57.90%,73.69%,17.90%,19.22%
MarketAxess,MKTX,"? 8,79,65,000.00","? 6,77,76,000.00","? 2,11,71,000.00","? 11,80,06,000.00","? 8,78,03,000.00","? 8,78,03,000.00","? 10,46,000.00","? 2,01,89,000.00","? 16,40,06,000.00","? 7,62,03,000.00","? 4,60,00,000.00","? 6,77,76,000.00",57.43%,74.41%,17.94%,22.95%
Marriott International,MAR,"? 2,70,00,000.00","? 1,10,00,000.00","? 21,10,00,000.00","? 40,10,00,000.00","? 8,50,00,000.00","? 8,50,00,000.00","? 10,70,00,000.00","? 1,60,00,000.00","? 53,60,00,000.00","? 45,10,00,000.00","? 13,50,00,000.00","? 1,10,00,000.00",-2.74%,21.20%,52.62%,59.26%
Marriott International,MAR,"? 31,40,00,000.00","? 16,40,00,000.00","? 45,90,00,000.00","? 35,80,00,000.00","? 14,50,00,000.00","? 14,50,00,000.00","? 11,20,00,000.00","? 15,00,00,000.00","? 50,80,00,000.00","? 36,30,00,000.00","? 15,00,00,000.00","? 16,40,00,000.00",-45.81%,40.50%,128.21%,47.77%
Marriott International,MAR,"? 12,70,00,000.00","? 10,00,00,000.00","? 13,10,00,000.00","? 33,10,00,000.00","? 25,30,00,000.00","? 25,30,00,000.00","? 11,30,00,000.00","? 2,70,00,000.00","? 46,50,00,000.00","? 21,20,00,000.00","? 13,40,00,000.00","? 10,00,00,000.00",30.21%,76.44%,39.58%,21.26%
Marriott International,MAR,"? 29,80,00,000.00","? 23,40,00,000.00","? 17,80,00,000.00","? 14,10,00,000.00","? 13,30,00,000.00","? 13,30,00,000.00","? 12,70,00,000.00","? 6,40,00,000.00","? 26,20,00,000.00","? 39,50,00,000.00","? 12,10,00,000.00","? 23,40,00,000.00",-165.96%,-94.33%,126.24%,21.48%
Marsh & McLennan,MMC,"? 1,32,20,00,000.00","? 98,30,00,000.00",,"? 2,34,90,00,000.00","? 1,45,20,00,000.00","? 1,45,20,00,000.00","? 11,80,00,000.00","? 32,40,00,000.00","? 5,08,30,00,000.00","? 3,63,10,00,000.00","? 2,73,40,00,000.00","? 99,80,00,000.00",41.85%,61.81%,0.00%,25.64%
Marsh & McLennan,MMC,"? 54,00,00,000.00","? 37,40,00,000.00",,"? 1,86,50,00,000.00","? 76,00,00,000.00","? 76,00,00,000.00","? 12,80,00,000.00","? 16,10,00,000.00","? 4,41,60,00,000.00","? 3,65,60,00,000.00","? 2,55,10,00,000.00","? 37,90,00,000.00",20.05%,40.75%,0.00%,30.74%
Marsh & McLennan,MMC,"? 45,90,00,000.00","? 31,60,00,000.00",,"? 1,53,30,00,000.00","? 60,00,00,000.00","? 60,00,00,000.00","? 12,80,00,000.00","? 13,90,00,000.00","? 3,96,80,00,000.00","? 3,36,80,00,000.00","? 2,43,50,00,000.00","? 32,00,00,000.00",20.61%,39.14%,0.00%,31.15%
Marsh & McLennan,MMC,"? 78,70,00,000.00","? 57,20,00,000.00",,"? 1,82,30,00,000.00","? 94,80,00,000.00","? 94,80,00,000.00","? 13,20,00,000.00","? 20,70,00,000.00","? 4,18,90,00,000.00","? 3,24,10,00,000.00","? 2,36,60,00,000.00","? 58,00,00,000.00",31.38%,52.00%,0.00%,27.32%
Martin Marietta Materials,MLM,"? 28,81,00,000.00","? 22,58,00,000.00","? 7,67,00,000.00","? 38,53,00,000.00","? 31,02,00,000.00","? 31,02,00,000.00","? 2,81,00,000.00","? 6,23,00,000.00","? 1,29,53,00,000.00","? 98,51,00,000.00","? 91,00,00,000.00","? 22,58,00,000.00",58.60%,80.51%,19.91%,21.62%
Martin Marietta Materials,MLM,"? 8,14,00,000.00","? 6,53,00,000.00","? 7,36,00,000.00","? 17,59,00,000.00","? 10,67,00,000.00","? 10,67,00,000.00","? 2,74,00,000.00","? 1,59,00,000.00","? 92,19,00,000.00","? 81,52,00,000.00","? 74,60,00,000.00","? 6,55,00,000.00",37.12%,60.66%,41.84%,19.78%
Martin Marietta Materials,MLM,"? 20,83,00,000.00","? 18,30,00,000.00","? 8,63,00,000.00","? 32,62,00,000.00","? 23,93,00,000.00","? 23,93,00,000.00","? 2,84,00,000.00","? 2,52,00,000.00","? 1,11,09,00,000.00","? 87,16,00,000.00","? 78,47,00,000.00","? 18,31,00,000.00",56.10%,73.36%,26.46%,12.15%
Martin Marietta Materials,MLM,"? 37,59,00,000.00","? 29,44,00,000.00","? 6,82,00,000.00","? 40,46,00,000.00","? 33,40,00,000.00","? 33,40,00,000.00","? 2,87,00,000.00","? 8,15,00,000.00","? 1,24,07,00,000.00","? 90,67,00,000.00","? 83,61,00,000.00","? 29,44,00,000.00",72.76%,82.55%,16.86%,21.68%
Masco,MAS,"? 15,70,00,000.00","? 9,40,00,000.00","? 34,60,00,000.00","? 70,00,00,000.00","? 35,40,00,000.00","? 35,40,00,000.00","? 20,20,00,000.00","? 4,30,00,000.00","? 1,97,00,00,000.00","? 1,61,60,00,000.00","? 1,27,00,00,000.00","? 11,40,00,000.00",13.43%,50.57%,49.43%,40.13%
Masco,MAS,"? 27,50,00,000.00","? 19,50,00,000.00","? 35,30,00,000.00","? 66,20,00,000.00","? 30,90,00,000.00","? 30,90,00,000.00","? 3,40,00,000.00","? 6,70,00,000.00","? 1,86,00,00,000.00","? 1,55,10,00,000.00","? 1,19,80,00,000.00","? 20,80,00,000.00",29.46%,46.68%,53.32%,29.09%
Masco,MAS,"? 38,00,00,000.00","? 27,50,00,000.00","? 33,70,00,000.00","? 75,20,00,000.00","? 41,50,00,000.00","? 41,50,00,000.00","? 4,00,00,000.00","? 8,70,00,000.00","? 1,98,30,00,000.00","? 1,56,80,00,000.00","? 1,23,10,00,000.00","? 29,30,00,000.00",36.57%,55.19%,44.81%,27.63%
Masco,MAS,"? 30,20,00,000.00","? 22,40,00,000.00","? 29,70,00,000.00","? 62,80,00,000.00","? 33,10,00,000.00","? 33,10,00,000.00","? 3,50,00,000.00","? 8,20,00,000.00","? 1,76,40,00,000.00","? 1,43,30,00,000.00","? 1,13,60,00,000.00","? 22,00,00,000.00",35.67%,52.71%,47.29%,25.83%
Mastercard,MA,"? 2,47,80,00,000.00","? 2,06,60,00,000.00","? 1,93,40,00,000.00","? 4,52,80,00,000.00","? 2,40,80,00,000.00","? 2,40,80,00,000.00","? 10,60,00,000.00","? 41,20,00,000.00","? 4,52,80,00,000.00","? 2,12,00,00,000.00",? 0.00,"? 2,06,60,00,000.00",45.63%,53.18%,42.71%,16.63%
Mastercard,MA,"? 2,19,00,00,000.00","? 1,82,80,00,000.00","? 1,79,50,00,000.00","? 4,15,50,00,000.00","? 2,19,70,00,000.00","? 2,19,70,00,000.00","? 10,70,00,000.00","? 36,20,00,000.00","? 4,15,50,00,000.00","? 1,95,80,00,000.00",? 0.00,"? 1,82,80,00,000.00",44.00%,52.88%,43.20%,16.53%
Mastercard,MA,"? 2,16,80,00,000.00","? 1,78,50,00,000.00","? 1,85,90,00,000.00","? 4,12,00,00,000.00","? 2,11,10,00,000.00","? 2,11,10,00,000.00","? 10,80,00,000.00","? 38,30,00,000.00","? 4,12,00,00,000.00","? 2,00,90,00,000.00",? 0.00,"? 1,78,50,00,000.00",43.33%,51.24%,45.12%,17.67%
Mastercard,MA,"? 1,91,50,00,000.00","? 1,51,30,00,000.00","? 1,59,10,00,000.00","? 3,83,70,00,000.00","? 2,10,50,00,000.00","? 2,10,50,00,000.00","? 10,50,00,000.00","? 40,20,00,000.00","? 3,83,70,00,000.00","? 1,73,20,00,000.00",? 0.00,"? 1,51,30,00,000.00",39.43%,54.86%,41.46%,20.99%
Match Group,MTCH,"? 17,73,40,000.00","? 14,08,95,000.00","? 23,88,11,000.00","? 51,46,61,000.00","? 21,34,14,000.00","? 21,34,14,000.00","? 3,22,19,000.00","? 3,73,20,000.00","? 70,77,60,000.00","? 49,43,46,000.00","? 19,30,99,000.00","? 14,00,20,000.00",27.38%,41.47%,46.40%,20.55%
Match Group,MTCH,"? 15,61,01,000.00","? 17,42,50,000.00","? 22,86,53,000.00","? 48,81,57,000.00","? 19,32,58,000.00","? 19,32,58,000.00","? 3,18,38,000.00","? 1,77,47,000.00","? 66,76,12,000.00","? 47,43,54,000.00","? 17,94,55,000.00","? 17,38,48,000.00",35.70%,39.59%,46.84%,-11.63%
Match Group,MTCH,"? 16,57,96,000.00","? 14,05,79,000.00","? 21,30,07,000.00","? 48,16,71,000.00","? 21,25,82,000.00","? 21,25,82,000.00","? 4,33,06,000.00","? 2,56,17,000.00","? 65,14,07,000.00","? 43,88,25,000.00","? 16,97,36,000.00","? 14,01,79,000.00",29.19%,44.13%,44.22%,15.21%
Match Group,MTCH,"? 15,50,55,000.00","? 13,25,81,000.00","? 21,88,20,000.00","? 46,99,47,000.00","? 20,01,67,000.00","? 20,01,67,000.00","? 4,31,89,000.00","? 2,35,68,000.00","? 63,97,70,000.00","? 43,96,03,000.00","? 16,98,23,000.00","? 13,14,87,000.00",28.21%,42.59%,46.56%,14.49%
McCormick & Company,MKC,"? 24,39,00,000.00","? 21,24,00,000.00","? 32,58,00,000.00","? 59,96,00,000.00","? 27,38,00,000.00","? 27,38,00,000.00","? 3,39,00,000.00","? 3,15,00,000.00","? 1,54,94,00,000.00","? 1,27,56,00,000.00","? 94,98,00,000.00","? 21,24,00,000.00",35.42%,45.66%,54.34%,12.92%
McCormick & Company,MKC,"? 22,91,00,000.00","? 18,37,00,000.00","? 35,52,00,000.00","? 61,46,00,000.00","? 25,94,00,000.00","? 25,94,00,000.00","? 3,56,00,000.00","? 4,54,00,000.00","? 1,55,67,00,000.00","? 1,29,73,00,000.00","? 94,21,00,000.00","? 18,37,00,000.00",29.89%,42.21%,57.79%,19.82%
McCormick & Company,MKC,"? 22,04,00,000.00","? 16,18,00,000.00","? 31,95,00,000.00","? 58,38,00,000.00","? 26,43,00,000.00","? 26,43,00,000.00","? 3,38,00,000.00","? 5,86,00,000.00","? 1,48,15,00,000.00","? 1,21,72,00,000.00","? 89,77,00,000.00","? 16,18,00,000.00",27.71%,45.27%,54.73%,26.59%
McCormick & Company,MKC,"? 25,82,00,000.00","? 20,07,00,000.00","? 29,90,00,000.00","? 66,07,00,000.00","? 29,31,00,000.00","? 29,31,00,000.00","? 3,24,00,000.00","? 5,75,00,000.00","? 1,55,79,00,000.00","? 1,26,48,00,000.00","? 89,72,00,000.00","? 20,07,00,000.00",30.38%,44.36%,45.26%,22.27%
McDonald's,MCD,"? 2,37,60,00,000.00","? 2,21,93,00,000.00","? 57,24,00,000.00","? 3,21,95,00,000.00","? 2,56,40,00,000.00","? 2,56,40,00,000.00","? 29,65,00,000.00","? 15,67,00,000.00","? 5,88,79,00,000.00","? 3,32,39,00,000.00","? 2,66,84,00,000.00","? 2,21,93,00,000.00",68.93%,79.64%,17.78%,6.60%
McDonald's,MCD,"? 1,95,27,00,000.00","? 1,53,72,00,000.00","? 49,04,00,000.00","? 2,66,83,00,000.00","? 2,10,85,00,000.00","? 2,10,85,00,000.00","? 30,00,00,000.00","? 41,55,00,000.00","? 5,12,46,00,000.00","? 3,01,61,00,000.00","? 2,45,63,00,000.00","? 1,53,72,00,000.00",57.61%,79.02%,18.38%,21.28%
